id_municipio,sigla_uf,risco_medio,alunos,criancas_em_risco,nome_municipio_ibge
3547304,SP,0.3167721214616519,1716,543.5809604281947,Santana de Parnaíba
3201209,ES,0.2805933541851194,1931,541.8257669314655,Cachoeiro de Itapemirim
1301209,AM,0.541694633966777,992,537.3610768950427,Coari
4316808,RS,0.5009303575830276,1066,533.9917611835075,Santa Cruz do Sul
1502152,PA,0.36366008473721173,1462,531.6710438858036,Canaã dos Carajás
1505809,PA,0.5973724445645053,889,531.0641032178453,Portel
4211306,SC,0.3906681291654405,1351,527.7926425025101,Navegantes
5006606,MS,0.29653565245385666,1779,527.536925715411,Ponta Porã
1506500,PA,0.6458825466128291,814,525.7483929428429,Santa Izabel do Pará
3510500,SP,0.3705140463417852,1417,525.0184036663096,Caraguatatuba
4119152,PR,0.37675248241128406,1393,524.8162079989187,Pinhais
4301602,RS,0.5594817370739611,936,523.6749059012276,Bagé
3503208,SP,0.28371639526144793,1831,519.4847197237111,Araraquara
1506138,PA,0.42467440501354264,1217,516.8287509014814,Redenção
1100122,RO,0.3383200486554749,1519,513.9081539076664,Ji-Paraná
3303401,RJ,0.33060403483168727,1536,507.80779750147167,Nova Friburgo
1502806,PA,0.7106367481822786,709,503.84145446123557,Curralinho
3304524,RJ,0.3392143164873385,1485,503.73325998369774,Rio das Ostras
3129806,MG,0.2971060689487718,1685,500.62372617868044,Ibirité
2104800,MA,0.507619002961313,985,500.0047179168933,Grajaú
3551702,SP,0.3667897451166614,1353,496.2665251428429,Sertãozinho
3300407,RJ,0.3557840133303782,1392,495.2513465558864,Barra Mansa
3515707,SP,0.2591728759193189,1908,494.5018472540605,Ferraz de Vasconcelos
3545803,SP,0.2888315684628792,1707,493.0354873661348,Santa Bárbara d'Oeste
4203204,SC,0.3653740035758993,1348,492.5241568203122,Camboriú
2513703,PB,0.5301515146388823,929,492.5107570995217,Santa Rita
3167202,MG,0.26148131283584297,1866,487.924129751683,Sete Lagoas
4104204,PR,0.30105371354378596,1610,484.6964788054954,Campo Largo
3523909,SP,0.3010149772440261,1610,484.634113362882,Itu
4208906,SC,0.24899900079185713,1943,483.8050585385784,Jaraguá do Sul
4302105,RS,0.4689161381046854,1031,483.45253838593067,Bento Gonçalves
3513504,SP,0.4446900755881509,1085,482.4887320131437,Cubatão
2802908,SE,0.6078702383270888,793,482.04109899338135,Itabaiana
4202909,SC,0.298067232953316,1608,479.29211058893213,Brusque
2803500,SE,0.6026809400106102,792,477.3233044884033,Lagarto
2616407,PE,0.44076531297098315,1079,475.5857726956908,Vitória de Santo Antão
3131307,MG,0.21876726195051094,2162,472.97482033700464,Ipatinga
3303203,RJ,0.5136512094334905,920,472.5591126788113,Nilópolis
2907202,BA,0.725620848566444,651,472.37917241675507,Casa Nova
2930501,BA,0.7343340811315378,640,469.9738119241842,Serrinha
2917508,BA,0.6782981862197506,692,469.3823448640674,Jacobina
3305208,RJ,0.42098485178563344,1113,468.55614003741,São Pedro da Aldeia
3501608,SP,0.3110530892549515,1502,467.20174006093714,Americana
3538006,SP,0.28366562050537497,1635,463.79328952628805,Pindamonhangaba
4307005,RS,0.46822361088024295,990,463.54137477144053,Erechim
2100055,MA,0.3696594803127162,1249,461.70469091058254,Açailândia
3539806,SP,0.37590437597111553,1218,457.8515299328187,Poá
2612505,PE,0.3902692160569157,1170,456.6149827865914,Santa Cruz do Capibaribe
2916401,BA,0.6477219607317604,703,455.3485383944275,Itapetinga
5007901,MS,0.5774814771421698,787,454.47792251088765,Sidrolândia
3550704,SP,0.4356057279994261,1040,453.02995711940315,São Sebastião
3504107,SP,0.2709298025484876,1671,452.72370005852275,Atibaia
3556503,SP,0.3853863585529953,1173,452.05819858266347,Várzea Paulista
2407104,RN,0.641647452194621,704,451.7198063450132,Macaíba
1100023,RO,0.33883397847786706,1325,448.9550214831739,Ariquemes
4319901,RS,0.5082746695128333,883,448.80653317983183,Sapiranga
3554003,SP,0.3478267895228365,1282,445.91394416827643,Tatuí
3502804,SP,0.26693886115916415,1660,443.1185095242125,Araçatuba
2903904,BA,0.6324883747305812,693,438.3144436882927,Bom Jesus da Lapa
2402600,RN,0.5740411099344827,763,437.9933668800102,Ceará-Mirim
2412005,RN,0.5767206642786992,758,437.154263523254,São Gonçalo do Amarante
3557006,SP,0.40349956871293885,1076,434.1655359351222,Votorantim
2101202,MA,0.4637912809175944,935,433.6448476579508,Bacabal
5208004,GO,0.3457892692586178,1247,431.19921876549637,Formosa
2403608,RN,0.5818801283668955,741,431.1731751198696,Extremoz
2702405,AL,0.5918861612139318,724,428.5255807188866,Delmiro Gouveia
3305554,RJ,0.5001151250174554,855,427.59843188992437,Seropédica
5215231,GO,0.4075401778619765,1046,426.2870260436274,Novo Gama
2307650,CE,0.13609471649111257,3113,423.6628524368335,Maracanaú
2902104,BA,0.7125091005190766,588,418.955351105217,Araci
5205497,GO,0.3181927756587793,1313,417.78711443997724,Cidade Ocidental
2704708,AL,0.45665480607962533,910,415.55587353245903,Marechal Deodoro
1718204,TO,0.4990385896288435,829,413.70299080231126,Porto Nacional
2911709,BA,0.5614071250999085,735,412.6342369484328,Guanambi
5107958,MT,0.33145329997814477,1242,411.6649985728558,Tangará da Serra
2906006,BA,0.6122473824079949,672,411.4302409781726,Campo Formoso
2102325,MA,0.5179679357613446,793,410.7485730587462,Buriticupu
