id_municipio,populacao,pib_per_capita,pct_vab_adm_publica
1200203,89760.0,22934.826203208555,37.35
1200252,18979.0,33960.79877759629,24.97
1200302,34986.0,16207.625907505859,45.3
1200328,8628.0,13209.898006490495,65.7
1200336,19643.0,13704.882146311664,56.08
1200344,9701.0,19060.303061540046,42.66
1200351,19727.0,13020.986465250671,63.76
1200385,20147.0,29854.122201816648,26.01
1200393,12497.0,12845.883011922862,66.57
1200401,419452.0,26119.019577925483,31.22
1200427,19767.0,12933.12085799565,62.64
1200435,6893.0,15747.13477440882,60.66
1200450,23446.0,33253.94523586113,23.51
1200500,47168.0,15860.201831750339,44.69
1200609,43730.0,16279.07614909673,47.4
1200708,19866.0,22902.496728078124,32.75
1200807,19141.0,24623.321665534717,30.16
1300029,16396.0,13255.245181751647,48.93
1300060,11934.0,9960.78431372549,67.0
1300086,14292.0,9697.663028267561,53.36
1300102,21937.0,11324.930482746046,47.71
1300144,22739.0,13096.882008883416,40.17
1300201,20868.0,8862.708453133984,68.49
1300300,41005.0,12348.274600658457,49.19
1300409,27772.0,8844.231600172836,61.22
1300508,32919.0,10476.92821774659,62.23
1300607,44873.0,8664.029594633745,66.64
1300631,20503.0,10333.65848900161,63.41
1300680,20040.0,9102.395209580838,63.34
1300706,34958.0,14668.916986097604,39.55
1300805,42328.0,9500.354375354374,62.01
1300839,13482.0,13194.926568758345,49.72
1300904,15981.0,9656.216757399412,62.27
1301001,28719.0,12906.542706918764,42.79
1301100,38820.0,10180.164863472437,55.97
1301159,31459.0,13140.087097491974,40.14
1301209,86713.0,38982.909137038274,16.42
1301308,29691.0,17917.71917416052,29.8
1301407,36121.0,15725.921209268847,37.09
1301506,20748.0,10387.844611528822,54.99
1301605,16409.0,13576.269120604546,59.3
1301654,17193.0,10313.499680102368,60.65
1301704,57195.0,15039.216714747792,35.41
1301803,31172.0,6945.945078916977,72.98
1301852,49718.0,20150.89102538316,32.4
1301902,104046.0,22590.613766987677,26.8
1301951,7777.0,17438.60100295744,44.79
1302009,9312.0,16377.68470790378,44.08
1302108,1755.0,48894.017094017094,45.59
1302207,15495.0,8910.874475637302,63.51
1302306,13462.0,19787.327291635716,44.12
1302405,47685.0,13110.999266016566,38.85
1302504,99613.0,15506.761165711303,37.53
1302553,33981.0,9162.031723610253,53.55
1302603,2255903.0,45782.73090642638,13.71
1302702,57405.0,11955.038759689922,46.18
1302801,18298.0,9630.396764673735,69.57
1302900,66159.0,9005.970465091674,60.56
1303007,21710.0,9535.006909258405,60.17
1303106,38665.0,8836.20845726109,63.59
1303205,20395.0,9146.016180436382,65.38
1303304,26443.0,9545.891162122301,54.53
1303403,116439.0,12255.103530604007,44.5
1303502,19616.0,10172.35929853181,60.07
1303536,38095.0,27087.675547972176,26.98
1303569,34856.0,11680.801009869176,46.15
1303601,26566.0,6994.541895656102,72.63
1303700,20889.0,11360.71616640337,61.77
1303809,47031.0,8995.237183985031,64.2
1303908,40837.0,8182.065283933687,69.24
1303957,14678.0,9307.058182313667,60.6
1304005,9289.0,18844.009042954032,38.47
1304062,68502.0,11065.881288137572,57.1
1304104,16876.0,14218.061151931737,51.61
1304203,59250.0,18538.261603375526,36.49
1304237,19038.0,9738.943166298981,70.1
1304260,13839.0,16562.540646000434,39.98
1304302,16007.0,12847.87905291435,50.06
1304401,24098.0,9654.784629429829,59.76
1400027,13561.0,17758.71985841752,59.99
1400050,15249.0,25280.805298708114,44.28
1400100,436591.0,30906.189087727416,40.21
1400159,12701.0,41131.0133060389,28.64
1400175,19257.0,18334.683491717296,63.8
1400209,22635.0,20026.419262204552,58.38
1400233,10595.0,22349.032562529494,50.5
1400282,12637.0,16497.349054364167,66.21
1400308,18482.0,21310.031381885077,53.66
1400407,11772.0,17232.330954808018,65.87
1400456,20108.0,16366.222399045157,72.77
1400472,31387.0,23333.099690954852,53.34
1400506,8492.0,38597.26801695714,42.14
1400605,8232.0,21741.010689990282,54.55
1400704,11014.0,13069.275467586707,83.47
1500107,160439.0,12141.524192995468,37.84
1500131,7536.0,13986.730360934183,37.27
1500206,55744.0,25698.209672789897,22.22
1500305,39910.0,11118.992733650713,44.26
1500347,27797.0,23126.704320610137,22.46
1500404,57390.0,12978.06238020561,35.84
1500503,34044.0,20202.47326988603,31.77
1500602,117320.0,26583.506648482784,20.48
1500701,30091.0,8593.067694659532,65.4
1500800,540410.0,16538.51520142114,24.24
1500859,29312.0,20048.00081877729,26.93
1500909,46937.0,7739.416664891237,61.16
